"SALON","GRUPO","LUGAR","SEMANA","FECHA","ALIMENTO","PRECIO","UNIDADES","OBSERVACIONES"
"1","8","surtifruver_lasabana","1","2/8/2020","Cebolla","1400","Libra","Cabezona"
"1","8","surtifruver_lasabana","1","2/8/2020","Coliflor","19225","Libra","NA"
"1","8","surtifruver_lasabana","1","2/8/2020","Fresa","6150","Libra","Sabanera"
"1","8","surtifruver_lasabana","1","2/8/2020","Granadilla","3990","Libra","Larga Vida"
"1","8","surtifruver_lasabana","1","2/8/2020","Lulo","1945","Libra","NA"
"1","8","surtifruver_lasabana","1","2/8/2020","Manzana","6400","Libra","NA"
"1","8","surtifruver_lasabana","1","2/8/2020","Maracuya","3450","Libra","NA"
"1","8","surtifruver_lasabana","1","2/8/2020","Papa","2400","Libra","NA"
"1","8","surtifruver_lasabana","1","2/8/2020","Tomate","2200","Libra","NA"
"1","8","surtifruver_lasabana","1","2/8/2020","Zanahoria","1490","Libra","NA"
"1","8","carulla_bacata","2","2/14/2020","Cebolla","1250","Libra","NA"
"1","8","carulla_bacata","2","2/14/2020","Coliflor","19225","Libra","Precio por bandeja"
"1","8","carulla_bacata","2","2/14/2020","Fresa","9380","Libra","Precio por bandeja"
"1","8","carulla_bacata","2","2/14/2020","Granadilla","6975","Libra","NA"
"1","8","carulla_bacata","2","2/14/2020","Lulo","NA","Libra","NA"
"1","8","carulla_bacata","2","2/14/2020","Manzana","7220","Libra","Precio por bandeja"
"1","8","carulla_bacata","2","2/14/2020","Maracuya","NA","Libra","NA"
"1","8","carulla_bacata","2","2/14/2020","Papa","2070","Libra","NA"
"1","8","carulla_bacata","2","2/14/2020","Tomate","1640","Libra","NA"
"1","8","carulla_bacata","2","2/14/2020","Zanahoria","NA","Libra","Zanahoria baby"
"1","8","surtifruver_lasabana","3","2/20/2020","Cebolla","1380","Libra","Cabezona blanca"
"1","8","surtifruver_lasabana","3","2/20/2020","Coliflor","5900","Libra","precio bajo"
"1","8","surtifruver_lasabana","3","2/20/2020","Fresa","6900","Libra","Precio por bandeja"
"1","8","surtifruver_lasabana","3","2/20/2020","Granadilla","6500","Libra","Por malla"
"1","8","surtifruver_lasabana","3","2/20/2020","Lulo","2830","Libra","NA"
"1","8","surtifruver_lasabana","3","2/20/2020","Manzana","6000","Libra","Precio por bandeja"
"1","8","surtifruver_lasabana","3","2/20/2020","Maracuya","2920","Libra","NA"
"1","8","surtifruver_lasabana","3","2/20/2020","Papa","1300","Libra","Pastusa y roja"
"1","8","surtifruver_lasabana","3","2/20/2020","Tomate","1430","Libra","Relativamente pequeâ€“o"
"1","8","surtifruver_lasabana","3","2/20/2020","Zanahoria","2050","Libra","Por malla"
"1","8","carulla_bacata","4","2/27/2020","Cebolla","1200","Libra","NA"
"1","8","carulla_bacata","4","2/27/2020","Coliflor","19225","Libra","Precio por bandeja"
"1","8","carulla_bacata","4","2/27/2020","Fresa","9380","Libra","Precio por bandeja"
"1","8","carulla_bacata","4","2/27/2020","Granadilla","6000","Libra","NA"
"1","8","carulla_bacata","4","2/27/2020","Lulo","NA","Libra","NA"
"1","8","carulla_bacata","4","2/27/2020","Manzana","7220","Libra","Precio por bandeja"
"1","8","carulla_bacata","4","2/27/2020","Maracuya","NA","Libra","NA"
"1","8","carulla_bacata","4","2/27/2020","Papa","3050","Libra","Estaba agotada y estaban abasteciendo"
"1","8","carulla_bacata","4","2/27/2020","Tomate","1750","Libra","NA"
"1","8","carulla_bacata","4","2/27/2020","Zanahoria","1750","Libra","NA"
